<s><s> 

Table:
0,1
,
"Gigafactory Texas, Tesla's headquarters, just outside of Austin, Texas","Gigafactory Texas, Tesla's headquarters, just outside of Austin, Texas"
Formerly,"Tesla Motors, Inc. (2003–2017)"
Company type,Public
Traded as,Nasdaq: TSLANasdaq-100 componentS&P 100 componentS&P 500 component
ISIN,US88160R1014
Industry,AutomotiveRenewable energy
Founded,"July 1, 2003; 21 years ago in San Carlos, California, U.S."
Founders,Martin Eberhard Marc Tarpenning (See § Founding)
Headquarters,"Austin, Texas, U.S."
Number of locations,"1,359 sales, service and delivery centers 7,000 Supercharger stations[1]"
Area served,East Asia Europe Middle East North America Oceania Southeast Asia
Key people,Elon Musk (CEO)Robyn Denholm (chair)
Products,Cybertruck Megapack Model 3 Model S Model X Model Y Powerwall Semi Solar Panels Solar Roof
Production output,"1,773,443 vehicles (2024) 31.4 GWh battery energy storage systems (2024)"
Services,Charging insurance maintenance
Revenue,US$97.7 billion (2024)
Operating income,US$7.1 billion (2024)
Net income,US$7.1 billion (2024)
Total assets,US$122.1 billion (2024)
Total equity,US$72.9 billion (2024)
Owner,Elon Musk (13%)[2]
Number of employees,"125,665 (2024)"
Subsidiaries,Tesla AutomationTesla Energy
,
ASN,394161
Website,tesla.<s> Tesla currently offers 6 vehicle models.com
"Footnotes / references Financials as of December 31, 2024. References: [3]","Footnotes / references Financials as of December 31, 2024. References: [3]"
Tesla, Inc. ( TEZ-lə or   TESS-lə) is an American multinational automotive and clean energy company. Headquartered in Austin, Texas, it designs, manufactures and sells battery electric vehicles (BEVs), stationary battery energy storage devices from home to grid-scale, solar panels and solar shingles, and related products and services. Tesla was incorporated in July 2003 by Martin Eberhard and Marc Tarpenning as Tesla Motors. Its name is a tribute to inventor and electrical engineer Nikola Tesla. In February 2004, Elon Musk led Tesla's first funding round and became the company's chairman; in 2008, he was named chief executive officer. In 2008, the company began production of its first car model, the Roadster sports car, followed by the Model S sedan in 2012, the Model X SUV in 2015, the Model 3 sedan in 2017, the Model Y crossover in 2020, the Tesla Semi truck in 2022 and the Cybertruck pickup truck in 2023. Tesla is one of the world's most valuable companies in terms of market capitalization. Starting in July 2020, it has been the world's most valuable automaker. From October 2021 to March 2022, Tesla was a trillion-dollar company, the seventh U.S. company to reach that valuation. Tesla exceeded $1 trillion in market capitalization again between November 2024 and February 2025. In 2023, the company led the battery electric vehicle market, with 19.9% share. Also in 2023, the company was ranked 69th in the Forbes Global 2000. Tesla has been the subject of lawsuits, boycotts, government scrutiny,
